timestamp,worker_x,center_x,confidence,note
2025-04-04 09:38:37,405.89,400.75,0.89,ignored (worker)
2025-04-04 09:38:38,405.89,388.2,0.88,triggered
2025-04-04 09:38:40,405.89,388.42,0.87,triggered
2025-04-04 09:38:41,405.89,377.42,0.84,triggered
2025-04-04 09:38:42,405.89,375.65,0.81,triggered
2025-04-04 09:38:43,405.89,379.24,0.76,triggered
2025-04-04 09:38:44,405.89,383.84,0.85,triggered
2025-04-04 09:38:46,405.89,386.46,0.85,triggered
2025-04-04 09:38:47,405.89,382.27,0.75,triggered
2025-04-04 09:38:48,405.89,380.18,0.88,triggered
2025-04-04 09:38:49,405.89,367.47,0.86,triggered
2025-04-04 09:38:50,405.89,349.5,0.91,triggered
2025-04-04 09:38:51,405.89,348.6,0.91,triggered
2025-04-04 09:38:53,405.89,351.37,0.9,triggered
2025-04-04 09:38:54,405.89,345.62,0.92,triggered
2025-04-04 09:38:56,405.89,337.93,0.92,triggered
2025-04-04 09:38:57,405.89,338.23,0.92,triggered
2025-04-04 09:38:58,405.89,337.44,0.92,triggered
2025-04-04 09:38:59,405.89,336.85,0.92,triggered
2025-04-04 09:39:00,405.89,338.12,0.91,triggered
2025-04-04 09:39:01,405.89,339.07,0.91,triggered
2025-04-04 09:39:02,405.89,335.47,0.92,triggered
2025-04-04 09:39:03,405.89,310.72,0.91,triggered
2025-04-04 09:39:04,405.89,297.88,0.9,triggered
2025-04-04 09:39:05,405.89,284.58,0.91,triggered
2025-04-04 09:39:06,405.89,280.02,0.92,triggered
2025-04-04 09:39:07,405.89,279.72,0.92,triggered
2025-04-04 09:39:08,405.89,279.31,0.91,triggered
2025-04-04 09:39:09,405.89,273.27,0.91,triggered
2025-04-04 09:39:10,405.89,285.43,0.91,triggered
2025-04-04 09:39:11,405.89,270.81,0.92,triggered
2025-04-04 09:39:12,405.89,257.31,0.92,triggered
2025-04-04 09:39:13,405.89,276.49,0.91,triggered
2025-04-04 09:39:14,405.89,300.04,0.88,triggered
2025-04-04 09:39:15,405.89,404.91,0.85,ignored (worker)
2025-04-04 09:39:16,405.89,405.78,0.85,ignored (worker)
2025-04-04 09:39:17,405.89,405.72,0.86,ignored (worker)
2025-04-04 09:39:18,405.89,405.45,0.86,ignored (worker)
2025-04-04 09:39:19,405.89,405.86,0.86,ignored (worker)
2025-04-04 09:39:20,405.89,405.96,0.85,ignored (worker)
2025-04-04 09:39:22,405.89,405.91,0.85,ignored (worker)
2025-04-04 09:39:24,405.89,405.47,0.86,ignored (worker)
2025-04-04 09:39:25,405.89,405.86,0.84,ignored (worker)
2025-04-04 09:39:27,405.89,405.09,0.85,ignored (worker)
2025-04-04 09:39:28,405.89,401.84,0.84,ignored (worker)
2025-04-04 09:39:29,405.89,400.8,0.84,ignored (worker)
2025-04-04 09:39:29,405.89,550.07,0.47,triggered
2025-04-04 09:39:30,405.89,400.4,0.85,ignored (worker)
2025-04-04 09:39:30,405.89,547.37,0.55,triggered
2025-04-04 09:39:31,405.89,404.39,0.85,ignored (worker)
2025-04-04 09:39:31,405.89,556.42,0.48,triggered
2025-04-04 09:39:32,405.89,407.81,0.84,ignored (worker)
2025-04-04 09:39:34,405.89,404.02,0.79,ignored (worker)
2025-04-04 09:39:37,405.89,407.8,0.82,ignored (worker)
2025-04-04 09:39:37,405.89,526.17,0.69,triggered
2025-04-04 09:39:38,405.89,407.84,0.83,ignored (worker)
2025-04-04 09:39:40,405.89,275.45,0.9,triggered
2025-04-04 09:39:41,405.89,228.73,0.92,triggered
2025-04-04 09:39:42,405.89,212.81,0.9,triggered
2025-04-04 09:39:43,405.89,227.6,0.89,triggered
2025-04-04 09:39:44,405.89,236.7,0.91,triggered
2025-04-04 09:39:46,405.89,299.63,0.85,triggered
2025-04-04 09:39:47,405.89,407.9,0.83,ignored (worker)
2025-04-04 09:39:49,405.89,408.93,0.85,ignored (worker)
2025-04-04 09:39:50,405.89,409.65,0.82,ignored (worker)
2025-04-04 09:39:51,405.89,408.56,0.85,ignored (worker)
2025-04-04 09:39:52,405.89,408.87,0.84,ignored (worker)
2025-04-04 09:39:53,405.89,408.92,0.83,ignored (worker)
2025-04-04 09:39:54,405.89,408.86,0.83,ignored (worker)
2025-04-04 09:39:54,405.89,511.93,0.36,triggered
2025-04-04 09:39:55,405.89,409.42,0.83,ignored (worker)
2025-04-04 09:39:56,405.89,409.13,0.83,ignored (worker)
2025-04-04 09:39:57,405.89,407.48,0.81,ignored (worker)
2025-04-04 09:39:58,405.89,407.91,0.84,ignored (worker)
2025-04-04 09:39:59,405.89,407.5,0.83,ignored (worker)
2025-04-04 09:40:00,405.89,404.74,0.81,ignored (worker)
2025-04-04 09:40:01,405.89,405.91,0.79,ignored (worker)
2025-04-04 09:40:02,405.89,407.08,0.82,ignored (worker)
2025-04-04 09:40:03,405.89,405.84,0.79,ignored (worker)
2025-04-04 09:40:03,405.89,517.09,0.35,triggered
2025-04-04 09:40:04,405.89,409.08,0.79,ignored (worker)
2025-04-04 09:40:05,405.89,408.95,0.85,ignored (worker)
2025-04-04 09:40:06,405.89,407.0,0.81,ignored (worker)
2025-04-04 09:40:06,405.89,519.02,0.57,triggered
2025-04-04 09:40:07,405.89,407.15,0.79,ignored (worker)
2025-04-04 09:40:08,405.89,408.41,0.83,ignored (worker)
2025-04-04 09:40:08,405.89,520.07,0.53,triggered
2025-04-04 09:40:09,405.89,407.8,0.82,ignored (worker)
2025-04-04 09:40:09,405.89,526.94,0.49,triggered
2025-04-04 09:40:10,405.89,408.3,0.83,ignored (worker)
2025-04-04 09:40:10,405.89,539.63,0.36,triggered
